Sample,species_name,sp,Molecules_ng,CDNA_sample,Volume_equi,RankG,cDNA_U,molecules_U,propU,molecules_T,propT,cDNA_G,molecules_G,propG,efficiencies,mix,copies_ul,CDNA_well
10,Carpinus_betulus,Cbe,52666.666666666664,9.14,4.710683544303798,11,0.18118013631937685,9542.153846153848,0.07692307692307694,2025.6410256410256,0.035711983237692216,0.0011500692246835444,60.57031250000001,4.883408619216214e-4,0.9433283728075584,1,654.3833333333333,0.012425
12,Fraxinus_excelsior,Fex,87040,22.4,2.8503676470588237,7,0.10962952488687784,9542.153846153848,0.07692307692307694,3347.692307692308,0.059019702930545516,0.01113424862132353,969.1250000000001,0.007813453790745942,0.9241863509042018,1,654.3833333333333,0.007518190870098039
26,Capsella_bursa-pastoris,Cbp,38533.333333333336,38.8,6.438477508650519,9,0.2476337503327123,9542.153846153848,0.07692307692307694,1482.0512820512822,0.026128514318210255,0.006287575692041522,242.28125,0.001953363447686485,0.963505706696384,1,654.3833333333333,0.016982266435986156
10,Carpinus_betulus,Cbe,52666.666666666664,9.14,4.710683544303798,11,0.18118013631937685,9542.153846153848,0.07692307692307694,2025.6410256410256,0.035711983237692216,0.0011500692246835444,60.57031250000001,4.883408619216214e-4,0.9433283728075584,2,130.87666666666667,0.0024850000000000002
12,Fraxinus_excelsior,Fex,87040,22.4,2.8503676470588237,7,0.10962952488687784,9542.153846153848,0.07692307692307694,3347.692307692308,0.059019702930545516,0.01113424862132353,969.1250000000001,0.007813453790745942,0.9241863509042018,2,130.87666666666667,0.0015036381740196078
26,Capsella_bursa-pastoris,Cbp,38533.333333333336,38.8,6.438477508650519,9,0.2476337503327123,9542.153846153848,0.07692307692307694,1482.0512820512822,0.026128514318210255,0.006287575692041522,242.28125,0.001953363447686485,0.963505706696384,2,130.87666666666667,0.003396453287197231
10,Carpinus_betulus,Cbe,52666.666666666664,9.14,4.710683544303798,11,0.18118013631937685,9542.153846153848,0.07692307692307694,2025.6410256410256,0.035711983237692216,0.0011500692246835444,60.57031250000001,4.883408619216214e-4,0.9433283728075584,3,26.175333333333334,4.97e-4
12,Fraxinus_excelsior,Fex,87040,22.4,2.8503676470588237,7,0.10962952488687784,9542.153846153848,0.07692307692307694,3347.692307692308,0.059019702930545516,0.01113424862132353,969.1250000000001,0.007813453790745942,0.9241863509042018,3,26.175333333333334,3.0072763480392154e-4
26,Capsella_bursa-pastoris,Cbp,38533.333333333336,38.8,6.438477508650519,9,0.2476337503327123,9542.153846153848,0.07692307692307694,1482.0512820512822,0.026128514318210255,0.006287575692041522,242.28125,0.001953363447686485,0.963505706696384,3,26.175333333333334,6.792906574394462e-4
10,Carpinus_betulus,Cbe,52666.666666666664,9.14,4.710683544303798,11,0.18118013631937685,9542.153846153848,0.07692307692307694,2025.6410256410256,0.035711983237692216,0.0011500692246835444,60.57031250000001,4.883408619216214e-4,0.9433283728075584,4,5.2350666666666665,9.94e-5
12,Fraxinus_excelsior,Fex,87040,22.4,2.8503676470588237,7,0.10962952488687784,9542.153846153848,0.07692307692307694,3347.692307692308,0.059019702930545516,0.01113424862132353,969.1250000000001,0.007813453790745942,0.9241863509042018,4,5.2350666666666665,6.014552696078431e-5
26,Capsella_bursa-pastoris,Cbp,38533.333333333336,38.8,6.438477508650519,9,0.2476337503327123,9542.153846153848,0.07692307692307694,1482.0512820512822,0.026128514318210255,0.006287575692041522,242.28125,0.001953363447686485,0.963505706696384,4,5.2350666666666665,1.3585813148788925e-4
10,Carpinus_betulus,Cbe,52666.666666666664,9.14,4.710683544303798,11,0.18118013631937685,9542.153846153848,0.07692307692307694,2025.6410256410256,0.035711983237692216,0.0011500692246835444,60.57031250000001,4.883408619216214e-4,0.9433283728075584,5,1.0470133333333334,1.988e-5
12,Fraxinus_excelsior,Fex,87040,22.4,2.8503676470588237,7,0.10962952488687784,9542.153846153848,0.07692307692307694,3347.692307692308,0.059019702930545516,0.01113424862132353,969.1250000000001,0.007813453790745942,0.9241863509042018,5,1.0470133333333334,1.2029105392156861e-5
26,Capsella_bursa-pastoris,Cbp,38533.333333333336,38.8,6.438477508650519,9,0.2476337503327123,9542.153846153848,0.07692307692307694,1482.0512820512822,0.026128514318210255,0.006287575692041522,242.28125,0.001953363447686485,0.963505706696384,5,1.0470133333333334,2.717162629757785e-5
