"Well","Cq","Dilu","Repli","probe","sp","Neg","Sample","species_name","Molecules_ng","CDNA_sample","copies_ul","CDNA_well"
"D08",30.3778851367022,4,8,"Cbp","Cbp",FALSE,26,"Capsella_bursa-pastoris",38533.3333333333,38.8,5.23506666666667,0.000135858131487889
"D09",30.2154151232293,4,9,"Cbp","Cbp",FALSE,26,"Capsella_bursa-pastoris",38533.3333333333,38.8,5.23506666666667,0.000135858131487889
"D10",31.1636416202909,4,10,"Fex","Fex",FALSE,12,"Fraxinus_excelsior",87040,22.4,5.23506666666667,6.01455269607843e-05
"D11",31.1170550353354,4,11,"Fex","Fex",FALSE,12,"Fraxinus_excelsior",87040,22.4,5.23506666666667,6.01455269607843e-05
"D12",31.1462678772339,4,12,"Fex","Fex",FALSE,12,"Fraxinus_excelsior",87040,22.4,5.23506666666667,6.01455269607843e-05
"E01",32.8509798471255,5,1,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,1.04701333333333,1.988e-05
"E02",32.9175464640999,5,2,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,1.04701333333333,1.988e-05
"E03",33.1548724098427,5,3,"CbeA","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,1.04701333333333,1.988e-05
"E04",33.4126906769783,5,4,"CbeB","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,1.04701333333333,1.988e-05
"E05",33.4424365779868,5,5,"CbeB","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,1.04701333333333,1.988e-05
"E06",33.4763104548514,5,6,"CbeB","Cbe",FALSE,10,"Carpinus_betulus",52666.6666666667,9.14,1.04701333333333,1.988e-05
"E07",32.5207826811447,5,7,"Cbp","Cbp",FALSE,26,"Capsella_bursa-pastoris",38533.3333333333,38.8,1.04701333333333,2.71716262975779e-05
"E08",32.6920840621616,5,8,"Cbp","Cbp",FALSE,26,"Capsella_bursa-pastoris",38533.3333333333,38.8,1.04701333333333,2.71716262975779e-05
"E09",32.9344717868283,5,9,"Cbp","Cbp",FALSE,26,"Capsella_bursa-pastoris",38533.3333333333,38.8,1.04701333333333,2.71716262975779e-05
"E10",33.9997086622386,5,10,"Fex","Fex",FALSE,12,"Fraxinus_excelsior",87040,22.4,1.04701333333333,1.20291053921569e-05
"E11",34.4232264542684,5,11,"Fex","Fex",FALSE,12,"Fraxinus_excelsior",87040,22.4,1.04701333333333,1.20291053921569e-05
"E12",34.2258691305724,5,12,"Fex","Fex",FALSE,12,"Fraxinus_excelsior",87040,22.4,1.04701333333333,1.20291053921569e-05
