"Cycle","Well","RFU","Dilu","Repli","probe","sp","Neg"
2,"B11",-5.32857691362642,2,11,"Fex","Fex",FALSE
2,"B12",-14.0286056476207,2,12,"Fex","Fex",FALSE
2,"C1",-11.6546302157449,3,1,"CbeA","Cbe",FALSE
2,"C2",-13.4079959673318,3,2,"CbeA","Cbe",FALSE
2,"C3",-13.4187158958966,3,3,"CbeA","Cbe",FALSE
2,"C4",-9.9573101437727,3,4,"CbeB","Cbe",FALSE
2,"C5",-1.8591171205635,3,5,"CbeB","Cbe",FALSE
2,"C6",8.3951079866938,3,6,"CbeB","Cbe",FALSE
2,"C7",-6.90760131684465,3,7,"Cbp","Fex",FALSE
2,"C8",-2.49910121065795,3,8,"Cbp","Fex",FALSE
2,"C9",-1.37911406026433,3,9,"Cbp","Fex",FALSE
2,"C10",5.48613953570384,3,10,"Fex","Fex",FALSE
2,"C11",8.01453415766173,3,11,"Fex","Fex",FALSE
2,"C12",-26.575593977409,3,12,"Fex","Fex",FALSE
2,"D1",-3.82973616799245,4,1,"CbeA","Cbe",FALSE
2,"D2",4.02220201133423,4,2,"CbeA","Cbe",FALSE
2,"D3",2.09508711572471,4,3,"CbeA","Cbe",FALSE
2,"D4",7.08619705273577,4,4,"CbeB","Cbe",FALSE
2,"D5",-9.08275614555168,4,5,"CbeB","Cbe",FALSE
2,"D6",1.12348471881342,4,6,"CbeB","Cbe",FALSE
2,"D7",-2.75023650839466,4,7,"Cbp","Fex",FALSE
2,"D8",-1.85556164057334,4,8,"Cbp","Fex",FALSE
2,"D9",-4.76570776777862,4,9,"Cbp","Fex",FALSE
2,"D10",12.3688135329257,4,10,"Fex","Fex",FALSE
2,"D11",1.15368693614801,4,11,"Fex","Fex",FALSE
2,"D12",6.15150074321537,4,12,"Fex","Fex",FALSE
2,"E1",2.44908118684361,5,1,"CbeA","Cbe",FALSE
2,"E2",1.43093548245361,5,2,"CbeA","Cbe",FALSE
2,"E3",-18.7032414082823,5,3,"CbeA","Cbe",FALSE
2,"E4",-8.74729292425036,5,4,"CbeB","Cbe",FALSE
2,"E5",9.60630642739943,5,5,"CbeB","Cbe",FALSE
2,"E6",-4.36937242053227,5,6,"CbeB","Cbe",FALSE
2,"E7",1.30795720996184,5,7,"Cbp","Fex",FALSE
2,"E8",4.99791823781379,5,8,"Cbp","Fex",FALSE
2,"E9",-1.5256782996421,5,9,"Cbp","Fex",FALSE
2,"E10",7.87963509386373,5,10,"Fex","Fex",FALSE
2,"E11",29.1112952633339,5,11,"Fex","Fex",FALSE
2,"E12",8.38456781324385,5,12,"Fex","Fex",FALSE
3,"A1",-13.6001601875905,1,1,"CbeA","Cbe",FALSE
3,"A2",1.75177812432139,1,2,"CbeA","Cbe",FALSE
3,"A3",6.56951201358243,1,3,"CbeA","Cbe",FALSE
3,"A4",2.72999577019982,1,4,"CbeB","Cbe",FALSE
3,"A5",-1.17745992581877,1,5,"CbeB","Cbe",FALSE
3,"A6",-10.3241820572866,1,6,"CbeB","Cbe",FALSE
3,"A7",-3.63193834165031,1,7,"Cbp","Fex",FALSE
3,"A8",3.79147084657052,1,8,"Cbp","Fex",FALSE
3,"A9",-9.24241073736403,1,9,"Cbp","Fex",FALSE
3,"A10",-11.3236184587149,1,10,"Fex","Fex",FALSE
3,"A11",0.681405536018246,1,11,"Fex","Fex",FALSE
3,"A12",-16.4826519298049,1,12,"Fex","Fex",FALSE
3,"B1",-0.352471182780391,2,1,"CbeA","Cbe",FALSE
