qty_initU
19084.30769230769
19084.30769230769
19084.30769230769
19084.307692307695
19084.30769230769
19084.30769230769
19084.307692307695
19084.307692307695
19084.307692307695
19084.30769230769
19084.30769230769
19084.30769230769
19084.30769230769
