Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
0.9327133429945786,0.9501595520782656,0.9556387704211698,0.9529229322805045,0.9660036953326501,0.9689315609971025,0.9348703675791986,0.9512748759335147,0.9264806077866244,0.929815373834459,0.881306274652083,0.8753005759892089
0.932899420350279,0.9503735465212112,0.9554541349216795,0.9525498562743869,0.9659989235479891,0.9687845522522202,0.9348763192533204,0.9512884089403594,0.9267315108372088,0.9298547987124636,0.8812601054753129,0.8749461960231742
0.9331918699289131,0.950197786623017,0.9556016867490162,0.9529892960509365,0.9659522135498212,0.9687477674814248,0.9349236793905826,0.9515733169859373,0.9266811743330416,0.930001442889944,0.8815029591020138,0.8754634175435115
0.9329299509988018,0.9502939871448682,0.9553123988033757,0.9526306401725817,0.9659503649374499,0.9685636188225246,0.9349456291584547,0.951415300517334,0.9266286605657762,0.9300029511829736,0.8811759474327556,0.8746682336745252
0.9327250084192726,0.9500735155101435,0.9553453050793452,0.952643971221389,0.9658954687181435,0.9687832452438402,0.9347539789660452,0.9514225249359091,0.9267969418816739,0.9296157698661677,0.8811234619059396,0.8752281263239017
0.93321148042197,0.9503732641369322,0.9554649450113859,0.9529137188589051,0.9659804486337185,0.9685939781828306,0.9351443015363399,0.9513587089984833,0.9266941339962583,0.9298673473779712,0.8812272230980966,0.8752695359932557
0.9330060166614137,0.9503171651124167,0.9555137306918917,0.9526670345474532,0.9660179723951772,0.9687319797134398,0.9349955577598046,0.9515889028473385,0.9268666823752876,0.9300255982225715,0.8813715869859862,0.8751768913670649
0.9331864026503989,0.950570890254979,0.9554930837384744,0.9528709020760726,0.9659744858357436,0.9687505414207206,0.9348900665350152,0.9514922166635489,0.9268816241214035,0.9299207529627385,0.8813671751406352,0.8751560354852295
0.9327074955217737,0.9502229389277125,0.9554678583513421,0.9527052140494257,0.9657561864991313,0.968620476418661,0.9347866913496242,0.9512999038980631,0.9266146157517826,0.9297209511733212,0.8813999852578216,0.8746405423499181
0.9331918120264164,0.9504612943096438,0.9554313995902677,0.952519117624823,0.9658484033537622,0.9685924193410571,0.9348358774911167,0.9512816899813915,0.9266498166255887,0.9297209322813929,0.8809867016005215,0.8750642485379102
