Well,Status,Concentration,Negatives,AcceptedDroplets,Sample,sp,Dilu,plate,Used,TotalDNA,Concentration_std
G07,CHECK,0,15497,15497,-1,Neg,4,1,FALSE,6.25e-5,0
G08,OK,17,15564,15790,24,Rc,4,1,FALSE,6.25e-5,170
G09,OK,4.4,16517,16579,26,Cbp,4,1,FALSE,6.25e-5,44
G10,OK,3.1,15377,15418,28,Gr,4,1,FALSE,6.25e-5,31.000000000000004
G11,OK,5,16291,16361,30,Rf,4,1,FALSE,6.25e-5,50
G12,OK,15,16164,16372,32,Lc,4,1,FALSE,6.25e-5,150
H01,CHECK,0,13382,13382,-1,Neg,4,1,FALSE,6.25e-5,0
H02,CHECK,0,8620,8620,14,Pa,4,1,FALSE,6.25e-5,0
H03,OK,4.5,14765,14822,16,Lx,4,1,TRUE,6.25e-5,45
H04,OK,7.9,15412,15516,18,Aa,4,1,FALSE,6.25e-5,79
H05,OK,17.4,14722,14941,22,Bm,4,1,FALSE,6.25e-5,173.99999999999997
H06,OK,9.3,15204,15325,20,Ac,4,1,TRUE,6.25e-5,93.00000000000001
H07,OK,24.9,13437,13725,100,Spk1,4,1,FALSE,6.25e-5,249
H08,OK,15.9,13590,13775,24,Rc,4,1,FALSE,6.25e-5,159
H09,OK,4.2,14420,14472,26,Cbp,4,1,FALSE,6.25e-5,42
H10,OK,8.5,13647,13746,28,Gr,4,1,FALSE,6.25e-5,85
H11,Manual,3.3,13321,13358,30,Rf,4,1,FALSE,6.25e-5,33
H12,OK,11.3,14876,15019,32,Lc,4,1,FALSE,6.25e-5,113
A01,Manual,8000,18,16241,20,Ac,1,2,TRUE,0.0625,80
A02,Manual,8000,17,15090,4,Sp,1,2,TRUE,0.0625,80
A03,CHECK,0,16598,16598,6,Pt,1,2,FALSE,0.0625,0
A04,OK,4.1,20684,20757,8,Ra,1,2,FALSE,0.0625,0.040999999999999995
A05,OK,3470,1064,20261,10,Cbe,1,2,TRUE,0.0625,34.7
A06,OK,10.8,17749,17912,4,Sp,4,2,TRUE,6.25e-5,108.00000000000001
B01,OK,4790,268,15653,12,Fe,1,2,TRUE,0.0625,47.9
B02,OK,574,9674,15754,12,Fe,2,2,TRUE,0.00625,57.4
B03,Manual,1.2,16896,16913,-1,Neg,NA,2,FALSE,NA,NA
B04,OK,53.6,18527,19390,12,Fe,3,2,TRUE,6.25e-4,53.6
B05,OK,55.1,16595,17391,12,Fe,3,2,TRUE,6.25e-4,55.1
B06,OK,15,16102,16309,6,Pt,4,2,TRUE,6.25e-5,150
C01,CHECK,0,4042,4042,20,Ac,2,2,FALSE,0.00625,0
C02,OK,900,7235,15544,4,Sp,2,2,TRUE,0.00625,90
C03,OK,1597,4354,16927,6,Pt,2,2,TRUE,0.00625,159.7
C04,OK,2.2,21253,21293,8,Ra,2,2,FALSE,0.00625,0.22
C05,OK,310,15673,20397,10,Cbe,2,2,TRUE,0.00625,31
C06,OK,2.3,17908,17943,8,Ra,4,2,FALSE,6.25e-5,23
D01,OK,69.1,16897,17919,20,Ac,3,2,TRUE,6.25e-4,69.1
D02,OK,903,7691,16565,4,Sp,2,2,TRUE,0.00625,90.29999999999998
D03,OK,1606,4460,17471,6,Pt,2,2,TRUE,0.00625,160.59999999999997
D04,OK,1.9,20205,20237,8,Ra,2,2,FALSE,0.00625,0.18999999999999997
D05,OK,333,13773,18278,10,Cbe,2,2,TRUE,0.00625,33.3
D06,OK,3.4,18071,18124,10,Cbe,4,2,TRUE,6.25e-5,34
E01,OK,7.5,17648,17761,20,Ac,4,2,TRUE,6.25e-5,75
E02,OK,102,13622,14856,4,Sp,3,2,TRUE,6.25e-4,102
E03,OK,148,15175,17209,6,Pt,3,2,TRUE,6.25e-4,148
E04,OK,2.3,20687,20728,8,Ra,3,2,FALSE,6.25e-4,2.3
E05,OK,32.2,17868,18364,10,Cbe,3,2,TRUE,6.25e-4,32.2
E06,OK,5.8,18156,18245,12,Fe,4,2,TRUE,6.25e-5,57.99999999999999
F01,OK,4.4,16129,16190,100,Spk1,5,2,FALSE,6.25e-6,440
F02,OK,103,13538,14778,4,Sp,3,2,TRUE,6.25e-4,103
F03,OK,157,14790,16903,6,Pt,3,2,TRUE,6.25e-4,157
F04,Manual,0.93,18998,19013,8,Ra,3,2,FALSE,6.25e-4,0.93
F05,OK,32.3,17079,17554,10,Cbe,3,2,TRUE,6.25e-4,32.3
F06,OK,73.2,17019,18112,20,Ac,3,2,TRUE,6.25e-4,73.2
G01,Manual,7670,24,16261,32,Lc,1,2,TRUE,0.0625,76.7
G02,OK,922,7016,15365,32,Lc,2,2,TRUE,0.00625,92.2
G03,OK,91,15905,17184,32,Lc,3,2,TRUE,6.25e-4,91
G04,OK,90.1,18486,19958,32,Lc,3,2,TRUE,6.25e-4,90.1
G05,OK,2.5,17186,17223,100,Spk1,5,2,FALSE,6.25e-6,250
G06,OK,8.4,16998,17120,20,Ac,4,2,TRUE,6.25e-5,84
H01,Manual,2304,2236,15849,100,Spk1,2,2,TRUE,0.00625,230.39999999999998
H02,OK,239,13225,16209,100,Spk1,3,2,TRUE,6.25e-4,239
H03,OK,184,16102,18835,100,Spk1,3,2,FALSE,6.25e-4,184
H04,CHECK,0,6606,6606,100,Spk1,4,2,FALSE,6.25e-5,0
H05,OK,38.1,16851,17406,100,Spk1,4,2,FALSE,6.25e-5,381
H06,OK,10.8,18207,18375,32,Lc,4,2,FALSE,6.25e-5,108.00000000000001
