,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
,1,-73.0105567306368,-23.692731259167,-5.7168726875102,-10.1428322322295,-33.9793182407425,-26.83157017853,0.337346859698755,-9.04544612134714,-57.7156201227863,-74.7891832927976,-20.4867976926089,-64.9708561681291,-15.8879618992096,-15.5718491851221,59.7678454800362,56.7184579504292,63.3485847805759,56.6819947644499,75.3986084902594,80.006015023785,75.8260394941863,75.7642426314706,36.8921278284975,-30.0554028294255,-26.2164907990032,83.5317297991114,108.376844316107,84.8881498646651,63.4532768670169,108.125084991068,103.708006497132,106.953951625334,123.399851158947,97.9761713163298,-13.2919256325085,66.2765546574683,89.737981362789,94.9971798294864,63.9143447930733,71.4429368181932,113.891603875124,103.041112864305,97.6577923842187,105.106283016957,-11.5566746361496,79.508359675584,119.761315262246,108.254138169786,119.705296097365,125.863037728266,110.848976270166,101.704815139476,131.229332863349,139.146631119366,3.66309467614974,55.3596064231742,77.9733756791611,72.1775940240673,69.8532240025261,99.0153484839079,72.4671151179627,82.5359067865161,112.462245330196,123.37302058085,-24.0312437690363,73.860378704645,93.5918220965445,84.2995788463272,96.3912030311385,110.582264718893,79.2365616992624,91.8169761885752,127.528702435658,104.990048778394,-4.66973943455287,-21.3349138379513,31.1916510058595,6.10757772922716,0.757658023278054,-9.5670358878574,5.7476861518503,-13.4380035577956,-46.4519853948595,-38.2105987128189
,2,-20.1284477447302,-6.75890619579332,3.71146803928696,4.97643641752529,-3.90201606722758,0.790156391588425,3.62816988565737,1.39703022219919,-23.88327672388,-19.8338084317511,-2.17163992117048,-26.8196988070076,-2.6675365876099,-10.7766075798704,19.7677859910818,21.0879355054167,43.6496842733191,26.3276576429007,28.2678813020088,45.4100211455975,41.3854479015936,27.1802307530488,19.6333181283462,4.22784985457201,-3.28470788993627,40.8724060979121,49.1765005147136,27.0785191461155,30.6028841600291,53.9541460517785,54.0789814378686,48.2327159429997,55.6688852094362,36.1194644314887,-1.10017914456375,28.4111935503061,46.7418565070029,42.5834234080121,25.6985491342393,23.0306125212114,60.7923907444301,55.227473411534,50.7824584262289,49.5501649101411,2.80148965112949,25.9992360562323,68.889040343498,53.38986041422,56.6847108629113,63.2858474475893,50.6611649693646,42.887709600524,71.0164179572248,85.2515500047652,7.96098758595508,11.7180868429386,35.3155369070359,23.3433780907253,21.5913973374431,39.2974288771843,33.6334908787794,40.4940466991352,61.2011962719098,65.3923685081786,-13.6266475002381,42.2796113861441,54.9039811179664,35.7359106770177,39.6781968139881,65.0655171116955,32.3547361067317,24.5958585477597,90.8808436887025,73.7604922798782,-6.78722176169185,-20.1346852799866,23.3996334595454,5.23597454885521,14.0479023200523,12.0644318403097,25.1231629985004,-2.0232691422143,-3.82491044882272,0.527434870018169
,3,-9.1347917038438,1.23218541191591,5.68246664734397,3.9973416981461,7.22424716102341,12.1566366526117,1.05297100700409,0.660989670378058,0.308902069336455,-6.30591468030025,-7.80695425791509,-22.164413708068,-3.37511189904217,0.805957741650218,8.63686736954696,8.92109543502056,8.93128434658183,7.56016755154269,13.544466064453,13.3381865393571,19.8745905417891,13.7512934380366,15.0001815452638,5.43373481536992,0.220401335943734,13.6653581670175,23.4350129816639,8.42115023939459,7.6304260634065,30.7441877963261,23.7844833699246,19.7752944336826,15.8995702003008,12.7322382301063,2.21421085941802,3.54143723103834,12.4793833382373,11.8451252834298,19.0735251617257,27.5280840058695,25.224556616115,31.4688119170833,8.97015767142966,16.9047881339675,5.92744762820757,9.81412528896044,25.1320797758335,17.9647997287079,21.2704743038271,16.4908695059048,22.8016294992667,30.9173305140548,36.9085856427273,47.8092742366243,5.40718817728293,7.64975907258531,12.8199364590646,1.94391531014026,12.4571657711454,14.523758869871,7.84748199623891,23.9679261780707,33.7716137613215,38.4637205117688,-6.29910106411262,22.8645513299757,17.6367990099029,21.9856995820251,13.017408149406,37.6848583480628,15.2886689698516,16.2171341624057,54.1014096059221,38.1370058176244,-7.19493245668855,2.21288303226129,3.84925224635072,6.15370372067127,8.42734362719466,6.99890422857698,17.3545917999809,4.46006649368064,0.979207640492405,1.97986192323469
,4,6.27755938852806,6.36921137520085,3.800113647133,-3.17631388346717,3.63277442009166,3.30692883996699,8.74971610603097,10.1568791731515,5.50969207491789,9.32557891219994,-6.34021530910377,-3.73998955832303,3.84710561298971,5.40548664969583,8.03975096402155,3.43485460916645,0.727080117357218,2.46906670572434,5.59339829508008,5.22996327861074,1.25579906444864,6.94998608042761,4.06657827942399,-0.330431046611466,-1.66520949538835,6.90962117004892,12.1993353520002,7.32214275496199,16.5766460104228,6.69142547782531,7.40402370524453,6.65214315728554,16.2950992141559,7.33627212915781,0.478796844025965,-4.90245059475046,5.58450765872158,8.27795070877482,10.1330289601606,2.02632593024509,7.09625845950268,15.1286780680412,5.73263136636479,14.8510604870344,4.93698823450086,3.61103447429605,13.5048683261712,12.1308580995915,3.46582797761675,6.66519858818992,11.5121358889196,-0.688213688506949,1.74880785078267,15.3242373389617,2.30029853996439,5.33143756773961,3.31792992756618,9.78054458382348,7.71430127064332,7.89826277912653,6.62856705187778,2.01005803852013,3.84178604085264,4.32802214004005,-0.352409201730552,2.13473558304258,8.18643478905369,5.99878584068665,5.95139609795024,9.88405838881863,4.33849281985295,5.68175010591631,14.5737908593173,10.3799734340246,5.20797341947991,4.86043688000154,-0.852149110954088,-0.860324928553837,6.67156010084864,1.64283857850933,6.08626790189783,3.4994126906704,-0.24138376495921,-2.59120014051587
,5,0.79315071600422,1.4457752238327,3.25972875636626,11.2199690755451,4.19841381867855,5.48130957302101,0.795332198289998,1.95057205906596,2.45192904794885,13.6869739573081,5.2149042413912,6.91168250273813,-0.83115423352865,5.16507998701945,7.07445082749609,5.26096904020824,9.42262508118301,2.53555735223563,1.27256165222843,1.80424345995425,-5.8145561059132,-1.66460206073452,6.39156350959547,1.36266013704881,-2.38090623265771,5.71783064419878,7.81657107844558,1.63307979125057,5.84894309906304,0.237085164662858,-0.545386524785499,4.52381903655396,9.01121174624313,12.0673413811846,11.7378935809556,-1.94288769656396,0.215796296215103,0.765410372040151,0.614702166438747,3.28862627853596,-1.35162116604715,-3.36882254469174,3.21851236533485,3.02558383501946,4.84168932674265,2.48531248398103,0.20838094507917,9.73003553366561,-0.515472197997042,4.90257748944532,4.06449537410299,1.01960781771913,3.24507225015395,6.10616934752306,0.273722404898763,-0.10279658856598,0.958448300224518,1.77031526450901,2.39340794376631,-6.2736807572478,-1.1924289025992,-4.99416360533542,0.743426710223048,0.587078148200817,5.46328534546456,-5.10144766558551,4.12843840206688,0.665039367808276,4.22677003301487,-13.1561513233846,-1.11459595855968,-1.05350523517927,8.14892719280215,-7.43384186732874,2.55141672958007,-2.88269643272406,-2.2255092909736,-3.16584028273383,4.96925137396966,4.07301612312449,-4.3127749136479,8.60171359505102,-1.27743562424575,6.6861298231097
,6,8.65641714130197,1.76951091309775,1.04760148428477,4.32271026532862,3.78996732213636,4.11563531320462,-0.174407272742428,1.32043960618239,2.53732588332741,5.4878456145957,-4.91735582625961,7.76550132231705,-2.34158126270995,4.8842300324377,4.16263515596393,0.39275876499778,-0.188478589001079,-0.725913332065375,-2.90372468173018,-1.89861827592267,-3.7842881284696,0.0173988972564985,3.21868974688141,3.56808328505076,-4.34616994197131,1.2383191061831,-5.75963869374345,-2.74084937586758,1.40674189827087,-6.42851506396892,-3.83942006070583,-2.06162781922421,0.424511037758748,-0.0221261646856874,0.427936900137411,-3.13974362460658,-1.69272875876959,-5.02445364439473,-4.879984676405,-3.53752784735752,-7.35425776734064,-13.0287734029853,6.10967853286684,-0.0543513862544387,-3.75081541290638,-1.17848384881381,2.27302303553006,0.306145220851249,-3.33954165765272,-2.68663758740513,-1.7790889945918,-5.68904216902138,-2.63849572547679,1.87267134886997,5.65034096686895,1.23531327230648,-2.62474759538236,2.72844261415548,-0.19209149562721,-2.12663086263865,1.06158550603641,-4.34413792412215,4.16750892109849,-3.40490156411215,2.00577569720053,-2.23676248452011,5.51454004364359,-2.64297481101312,-2.50889838660078,-12.6275857383075,0.363747417299692,-7.19644620472218,1.3424612207391,-16.2264631725848,4.22282355288826,2.42074475910113,1.35844036089475,2.60462726572587,1.2289274790628,-1.55841213707663,-3.58527152093484,-3.40640723232536,-2.68163077239433,6.32469766111944
,7,3.02689415085797,-3.57527696955049,-0.0847024288177636,-1.864915476433,-1.24719995928945,-4.61358015727501,1.90620172791614,-3.11189120969584,12.0522039422758,7.50714062417137,-4.02882887962778,-2.12547134266742,7.27615098859405,2.73729889681454,-6.78428644575888,-3.83072985723675,1.27440283244277,2.20653157631159,0.0617088541134763,1.14540275182571,-3.21452699927204,-3.59990953765237,-0.218222179542408,-2.57761559880555,-3.61468157443096,1.99247346195625,-7.38116676355685,0.94619434224478,-5.57310520309102,-2.16410664883597,-0.78116391129879,-1.7305925363512,3.84617816475202,-7.53460683575258,-1.5830934716987,-6.40156345404466,-4.75989817724167,0.733325541483282,-5.75766407249648,-10.2846169408645,-6.3069289808609,-8.43139550459273,3.75302518970193,-1.2540518095775,-4.16228555147836,-2.39663279094566,-3.30455592105636,0.23291512709875,-5.52010960372036,2.19250772075202,-4.03351133755632,-1.83762977464403,-5.31285308100996,-7.49078069553525,0.715561555133263,-3.79253211330251,-2.64391633666492,3.87154309512562,1.68153047483702,-3.98998759664983,-0.617641418665698,-8.16616713028588,-0.996237941286836,2.32226103801759,6.2036646013712,1.99545492337393,-2.59399498170569,-4.46485921442581,-5.04972758794656,-9.2585356563909,-0.828794328653657,0.786166528443118,-0.215209129114555,-15.5102941940067,9.02364388027399,-3.50744114971985,1.1541012388011,0.234080785058723,0.289067509045708,0.990462120165375,-9.31596591248763,-3.86688485738841,-5.28229460507919,3.79214947091805
,8,7.33955495510691,-1.17364390136891,-3.84811491966275,2.65344983380874,-0.918926292948527,-2.12483408826165,-5.37775907951755,-6.67548278083632,1.20856824539987,2.30662684306981,3.39574074426628,-3.35077004139339,7.05516726536644,2.89008648096842,-4.67156811472114,-4.25299622798775,-2.66842129370571,-4.18459663994463,-5.87572667346103,-7.0544047149574,-4.81368564738568,-5.2452286925818,-1.40495304536898,8.59754025111306,3.37563380126448,-1.64562995362803,-12.5801435209701,-4.99195352115657,-10.3959898931503,-7.77794672442815,-8.73100532653143,-6.26522910764197,-6.96361650990093,-10.8261373056316,-2.95037830206866,-3.3503820864712,-1.90865947699922,-11.3556300829332,-7.89769968011251,-10.3248438426945,-4.90502768803162,-10.4498573994829,0.830715225946278,-2.28195660697475,-3.02149435977663,-6.78519192061503,-3.38369873650981,-4.49636687384373,-4.04318771829048,-9.36899314987386,-10.428842737811,-7.32394412180838,-1.45019164777068,-2.79456656422053,-2.75871100835639,-4.33563316189111,-1.91416352117722,-2.62684538730764,-3.13999640824477,-8.62891741202338,-4.67662820704254,-6.84555284105591,0.810671523836845,-5.06219423057155,7.49396134232484,-3.36018298495264,-5.27120153229907,-9.33733611740809,-4.95969223942802,-13.0180279388778,-8.95075169077882,-4.71302889963454,0.317219293834569,-3.41754555540865,6.39381533061987,4.21700061711681,-0.0614894086284039,5.29369512567564,-5.93741240422833,-3.01085991676382,-6.73531481625287,-6.41941347827651,-0.847146666899789,2.00925492111946
,9,3.0902536411345,1.74191187732322,1.00387681293796,1.84639476823259,-3.61635428264799,-10.5260760910651,-4.5463287849866,-2.68982792635643,1.87182309525497,4.40571896866504,5.59860184038007,7.8544673238398,-0.636241878972669,-5.93881600280292,-9.87212125153292,-0.900883413806696,-0.574971836193072,-3.00109953129731,-7.81598556373092,-12.5323252334815,-10.6621017305042,-0.235663593791287,5.86437010808822,2.87278945635035,-2.19294555068836,2.64570848991843,-15.8720424138819,-10.7863689645715,-10.1552961202024,-9.81360602878749,-12.9855325892186,-13.943188772042,-6.77751501380044,-6.18724980486877,0.390854768463669,0.594429369369664,-12.1434157203134,-4.23031867022655,-17.6924017565302,-18.6102846774452,-9.49913537903649,-16.2165874963866,-3.52501449162719,-4.52023967793912,-2.28944986328133,-12.4739315828579,-10.0518382786954,-6.26583474573408,-8.05079238496182,-6.75174224044531,-10.7620335993652,-13.9276621211229,-4.74315967336315,-10.5525592010054,-5.89134454301666,-9.44132344049785,-3.32648741645062,-0.550338274000296,-12.6690650807186,-8.61081920869492,-12.169087235156,-9.96990634477424,3.23521554750914,-2.89832669913312,-1.88073628526445,-4.25767559493261,-11.4865682821774,-14.9084648343469,-8.78972071884937,-9.74170845050094,-8.70889757140412,-8.71194093539498,-2.99061899513663,-1.58421695255856,-2.24617581977782,5.45640153313798,5.29751902588669,3.14692220889128,-10.9283791725288,-6.18248716939297,-6.27062944786076,-3.11844539592767,-3.56665207604192,7.90664976728476
,10,-1.43479917467948,-9.00809349716201,-4.63952644797973,-7.23393743620409,-7.9168014011907,-5.39475213405649,-6.09490238200715,-1.45265905881024,-0.37080602296146,3.82123652280507,3.21276272355908,3.77550662287695,1.15478424972707,1.48893067239624,-4.15584324997735,-3.7431742480594,-5.97708267119879,-7.31506245227047,-3.48301980105953,-10.0012508047321,-6.39580630937235,-6.56265758307291,6.14985942863905,0.0934551458526585,-0.803802052651463,-0.360362722331956,-14.5469338600419,-2.56113880421572,-14.4003227957842,-13.4147041688193,-18.6466365391721,-14.0848354883415,-11.2740644635628,-5.00696941524802,1.97020656174709,-4.04761213653956,-2.598492333791,-7.61309170068034,-16.3740742808814,-19.2164122277431,-9.03064071854487,-16.2620839997867,0.971367055648443,-7.37640133532977,-3.48937407481617,-5.53788899046458,-6.76437249291303,-5.79927517393617,-14.558218631154,-11.9341103591928,-16.2378679563135,-16.3362968742895,-2.73462205515625,-9.81545335806823,-3.22441153541968,-2.09305097888227,-4.41108187192458,-1.09151820515899,-8.30977514764209,-4.91082838609736,-6.02209609300917,-5.82174103622447,-13.3453755747237,-7.99502061395333,1.18559534984706,-7.74503607131737,-18.3469007129102,-5.65636414613164,-9.23947503588124,-12.3298669198589,-8.04731550232464,-13.0005140620274,-3.66783676212162,3.14425839174328,5.51323849727123,4.3677764955637,4.27861484791265,-6.8912242180977,-11.5912675013155,0.588313400548032,-13.9872227084234,-0.396311439567398,-0.815784549991349,5.45292258159225
