"","Carpinus_betulus","Capsella_bursa-pastoris","Fraxinus_excelsior"
"1",2901,3586,2111
"2",3268,4836,2937
"3",4524,7478,4071
"4",2361,4230,2179
"5",1165,2545,1073
"6",6966,8728,5259
"7",1414,1460,1100
"8",3973,4389,3046
"9",1774,1783,1406
"10",434,687,369
"11",832,1925,692
"12",3616,5277,2836
"13",6682,8450,5429
"14",4666,5960,3491
"15",7708,9724,5549
"16",3642,3918,2845
"17",812,944,597
"18",855,768,525
"19",1796,1542,1008
