"","Carpinus_betulus","Capsella_bursa-pastoris","Fraxinus_excelsior"
"1",7,60,250
"2",16,124,439
"3",19,99,427
"4",9,61,193
"5",4,20,82
"6",32,124,479
"7",8,43,152
"8",26,147,606
"9",31,184,603
"10",3,16,46
"11",1,17,41
"12",11,77,239
"13",23,95,491
"14",9,75,287
"15",13,166,579
"16",19,95,367
"17",5,19,77
"18",3,36,88
"19",10,47,200
